epoch,train_loss,val_loss,train_miou,val_miou,lr
1,0.464382,0.373330,0.546511,0.627880,0.00010000
2,0.383602,0.367951,0.608043,0.626395,0.00010000
3,0.362752,0.349165,0.621061,0.653700,0.00010000
4,0.349146,0.337904,0.634748,0.664179,0.00010000
5,0.338828,0.312834,0.643816,0.684931,0.00010000
6,0.333074,0.317764,0.648879,0.680850,0.00010000
7,0.326246,0.311610,0.654688,0.686779,0.00010000
8,0.325248,0.309752,0.655673,0.675740,0.00010000
9,0.319310,0.311493,0.658633,0.691816,0.00010000
10,0.315627,0.299599,0.661187,0.697229,0.00010000
11,0.313460,0.303456,0.663054,0.686308,0.00010000
12,0.312069,0.325252,0.665803,0.673340,0.00010000
13,0.308316,0.307121,0.668909,0.687803,0.00010000
14,0.304238,0.301396,0.672894,0.685757,0.00010000
15,0.304287,0.301888,0.670261,0.690006,0.00010000
16,0.301621,0.295945,0.676654,0.695793,0.00010000
17,0.299617,0.285256,0.676506,0.707038,0.00010000
18,0.296943,0.297664,0.679603,0.696259,0.00010000
19,0.297432,0.299662,0.677929,0.696889,0.00010000
20,0.296038,0.293800,0.677741,0.701780,0.00010000
21,0.294910,0.288858,0.679675,0.705024,0.00010000
22,0.291488,0.293057,0.681542,0.702509,0.00010000
23,0.294534,0.286987,0.678237,0.698790,0.00010000
24,0.275374,0.273915,0.695603,0.713417,0.00005000
25,0.271196,0.274529,0.699860,0.716451,0.00005000
26,0.269484,0.272139,0.700139,0.717780,0.00005000
27,0.268478,0.281422,0.701160,0.703830,0.00005000
28,0.266909,0.276625,0.702953,0.712160,0.00005000
29,0.265381,0.269466,0.702385,0.723596,0.00005000
30,0.264250,0.270221,0.705874,0.719772,0.00005000
31,0.264013,0.269428,0.705415,0.720190,0.00005000
32,0.261908,0.279136,0.706239,0.712100,0.00005000
33,0.261924,0.269825,0.707165,0.718900,0.00005000
34,0.261479,0.273864,0.706150,0.711287,0.00005000
35,0.260077,0.270927,0.708511,0.717512,0.00005000
36,0.258908,0.268642,0.710323,0.720434,0.00005000
37,0.258934,0.272938,0.710417,0.721070,0.00005000
38,0.258784,0.271861,0.711092,0.719947,0.00005000
39,0.257513,0.268973,0.708864,0.721521,0.00005000
